                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    376,                0.35235,                0.42365,                0.28856,                0.87516,                0.95479,                0.98214,                0.99241,                0.90564,                0.95479,                0.98214,                0.99241,                0.91875,                0.38077,                0.43512,                 0.2971,                0.98388,              0.0014098,              0.0014098,              0.0014098
                    377,                0.32914,                0.42039,                0.27894,                0.85455,                0.93228,                0.98897,                0.98783,                0.90458,                0.94699,                0.94048,                 0.9493,                0.92062,                0.36214,                0.44229,                0.30921,                0.97606,              0.0014091,              0.0014091,              0.0014091
                    378,                 0.3314,                0.41716,                0.27885,                0.85781,                0.93681,                0.99043,                0.97788,                0.89054,                0.94222,                0.94048,                 0.9385,                0.89878,                0.38803,                0.45903,                0.35659,                0.99092,              0.0014084,              0.0014084,              0.0014084
                    379,                0.31847,                0.39869,                 0.2594,                0.85769,                0.93708,                0.94048,                0.94694,                0.86324,                0.93708,                0.94048,                0.92898,                 0.8938,                 0.4085,                0.49304,                0.43702,                  1.017,              0.0014078,              0.0014078,              0.0014078
                    380,                0.33467,                0.43272,                0.28427,                0.86489,                0.92171,                0.98921,                0.97957,                0.89105,                0.93214,                0.94048,                0.94148,                0.89859,                0.39835,                0.49357,                0.36535,                0.98419,              0.0014071,              0.0014071,              0.0014071
                    381,                0.33332,                0.40772,                0.27027,                0.85263,                 0.9227,                0.99762,                0.99031,                0.90965,                0.94132,                0.94048,                0.95657,                0.92413,                0.36527,                0.44824,                 0.3385,                0.96206,              0.0014064,              0.0014064,              0.0014064
                    382,                0.33609,                0.44243,                0.26874,                0.85562,                0.92294,                0.99814,                0.99135,                0.90847,                0.93453,                0.94048,                0.95877,                 0.9341,                0.37568,                0.42254,                0.34893,                0.97324,              0.0014057,              0.0014057,              0.0014057
                    383,                0.32356,                0.39401,                0.26905,                0.84361,                0.91297,                0.99652,                0.99135,                0.90736,                0.94749,                0.94048,                0.95954,                  0.918,                0.38544,                 0.4268,                0.33884,                 0.9901,               0.001405,               0.001405,               0.001405
                    384,                 0.3418,                0.40116,                0.28735,                0.86138,                0.93901,                0.98214,                0.99113,                0.88042,                0.93252,                 0.9319,                0.95341,                0.91523,                0.39183,                0.44865,                0.37092,                 0.9883,              0.0014043,              0.0014043,              0.0014043
                    385,                0.33978,                0.42059,                0.27813,                0.85211,                0.81927,                0.96591,                0.96423,                0.85484,                0.94868,                0.83929,                0.92873,                0.88767,                0.40061,                0.54594,                0.48004,                  1.016,              0.0014036,              0.0014036,              0.0014036
                    386,                0.37287,                0.45817,                0.29941,                0.87145,                0.82742,                0.93019,                0.97153,                0.86066,                0.91934,                0.83929,                0.93552,                0.90211,                0.39159,                0.55015,                 0.4688,                 1.0102,              0.0014029,              0.0014029,              0.0014029
                    387,                0.32569,                0.39191,                0.27335,                0.85173,                 0.9386,                0.95765,                0.99063,                0.87516,                0.92408,                0.92262,                0.95116,                0.91189,                0.39321,                0.50247,                0.42364,                 1.0072,              0.0014023,              0.0014023,              0.0014023
                    388,                0.32908,                 0.4012,                0.27092,                0.85129,                0.91982,                      1,                0.99063,                0.89306,                 0.9497,                0.92262,                0.95134,                0.91414,                0.38414,                0.46774,                 0.3675,                0.96738,              0.0014016,              0.0014016,              0.0014016
                    389,                0.35434,                0.43255,                0.27299,                0.85486,                0.90983,                0.99736,                0.97294,                0.87975,                0.90983,                0.99736,                0.97294,                0.91614,                0.37843,                0.43771,                0.35728,                 0.9759,              0.0014009,              0.0014009,              0.0014009
                    390,                0.32845,                 0.4159,                0.26835,                0.85249,                0.96016,                0.93744,                 0.9541,                0.89577,                0.96016,                0.93744,                 0.9541,                0.91886,                0.37517,                0.41861,                0.33806,                0.98446,              0.0014002,              0.0014002,              0.0014002
                    391,                0.32719,                0.37912,                0.27233,                0.84658,                0.96123,                0.94048,                0.98417,                0.89469,                0.94424,                  0.997,                0.99217,                 0.9467,                0.38816,                0.39793,                0.31986,                0.98259,              0.0013995,              0.0013995,              0.0013995
                    392,                0.33631,                0.39545,                0.27957,                0.85178,                0.95891,                0.94048,                0.98417,                0.89961,                0.95891,                0.94048,                0.98417,                0.94887,                 0.3758,                0.39543,                0.31563,                0.97344,              0.0013988,              0.0013988,              0.0013988
                    393,                0.33018,                0.40178,                 0.2677,                0.85228,                0.95589,                0.94048,                0.98417,                0.91298,                0.95589,                0.94048,                0.98417,                0.94195,                 0.3677,                0.40976,                0.33247,                0.97155,              0.0013981,              0.0013981,              0.0013981
                    394,                0.33332,                0.38476,                0.27433,                0.84442,                0.95453,                0.94048,                0.98107,                0.90318,                0.95453,                0.94048,                0.98107,                0.93374,                0.35421,                0.41915,                0.34359,                0.96337,              0.0013974,              0.0013974,              0.0013974
                    395,                0.35614,                0.41826,                0.27291,                0.84349,                0.94728,                0.94093,                0.98107,                0.90751,                0.94728,                0.94093,                0.98107,                0.93136,                0.36679,                0.43617,                0.34787,                0.96064,              0.0013968,              0.0013968,              0.0013968
                    396,                0.35681,                 0.3988,                 0.2772,                0.87727,                0.94675,                0.94167,                 0.9778,                0.90116,                0.94675,                0.94167,                 0.9778,                0.92773,                 0.3916,                0.50936,                0.37167,                 0.9629,              0.0013961,              0.0013961,              0.0013961
                    397,                0.35333,                0.44862,                0.29917,                0.86669,                0.90248,                 0.9412,                0.97405,                 0.8945,                0.90248,                 0.9412,                0.97405,                0.92152,                0.40083,                0.53415,                0.36514,                0.96436,              0.0013954,              0.0013954,              0.0013954
                    398,                0.34907,                0.42077,                0.27547,                0.85015,                0.89976,                0.94048,                0.97405,                0.89594,                0.89976,                0.94048,                0.97405,                0.91916,                0.39816,                0.54887,                 0.3588,                0.96601,              0.0013947,              0.0013947,              0.0013947
                    399,                0.35836,                0.40715,                0.29831,                0.88347,                0.94907,                0.94048,                  0.985,                0.90535,                0.94907,                0.94048,                  0.985,                0.93102,                 0.3801,                0.53961,                0.34433,                0.96456,               0.001394,               0.001394,               0.001394
                    400,                0.34046,                0.39056,                0.27076,                0.85095,                0.93746,                0.99755,                0.99071,                0.91926,                0.93746,                0.99755,                0.99071,                0.94114,                0.37469,                0.49852,                0.35417,                0.96654,              0.0013933,              0.0013933,              0.0013933
                    401,                0.34988,                 0.4328,                0.30081,                 0.8377,                0.93633,                0.99681,                0.99119,                0.91825,                0.93633,                0.99681,                0.99119,                0.94886,                0.36874,                0.48516,                0.35206,                 0.9666,              0.0013926,              0.0013926,              0.0013926
                    402,                0.34056,                0.40303,                0.28155,                0.84952,                0.93564,                0.99466,                0.99119,                0.92241,                0.93564,                0.99466,                0.99119,                0.94724,                0.36125,                0.47725,                0.33252,                 0.9654,              0.0013919,              0.0013919,              0.0013919
                    403,                   0.35,                0.39869,                0.28723,                0.85489,                0.93527,                0.99352,                0.99188,                0.92193,                0.93527,                0.99352,                0.99188,                0.94559,                0.35226,                0.47882,                0.31454,                0.96067,              0.0013913,              0.0013913,              0.0013913
                    404,                 0.3383,                0.42199,                 0.2695,                0.86608,                0.93683,                0.99229,                0.99241,                0.91613,                0.93683,                0.99229,                0.99241,                0.95004,                0.34748,                0.47874,                0.30617,                0.95402,              0.0013906,              0.0013906,              0.0013906
                    405,                0.34705,                0.40085,                0.27935,                  0.867,                0.93729,                0.99571,                0.99241,                0.92744,                0.93729,                0.99571,                0.99241,                0.94959,                0.35963,                 0.4847,                0.32456,                0.95883,              0.0013899,              0.0013899,              0.0013899
                    406,                0.33002,                0.41013,                0.26529,                0.83345,                0.93478,                0.99694,                0.99188,                0.92009,                0.93478,                0.99694,                0.99188,                 0.9355,                0.36128,                0.49702,                0.33644,                0.96349,              0.0013892,              0.0013892,              0.0013892
                    407,                0.33116,                0.40669,                0.26274,                0.84183,                0.88547,                      1,                0.98755,                0.91375,                0.88547,                      1,                0.98755,                0.93225,                0.36626,                0.51648,                0.34804,                0.97644,              0.0013885,              0.0013885,              0.0013885
                    408,                 0.3356,                0.40848,                0.26848,                0.86205,                0.93001,                0.95459,                0.98534,                0.89468,                0.93001,                0.95459,                0.98534,                0.93758,                0.36865,                0.52079,                0.36244,                0.97762,              0.0013878,              0.0013878,              0.0013878
                    409,                 0.3324,                0.39209,                0.25785,                0.84781,                0.92923,                0.99675,                 0.9892,                0.90008,                0.92923,                0.99675,                 0.9892,                0.94014,                0.37682,                 0.5008,                0.35351,                0.98538,              0.0013871,              0.0013871,              0.0013871
                    410,                  0.326,                0.40097,                0.26284,                0.85569,                0.93064,                0.99692,                0.98991,                0.90162,                0.93064,                0.99692,                0.98991,                0.94124,                0.37701,                0.47612,                0.35606,                0.96714,              0.0013864,              0.0013864,              0.0013864
                    411,                0.33949,                0.42718,                 0.2603,                 0.8565,                 0.9381,                0.94048,                0.98808,                0.89617,                 0.9381,                0.94048,                0.98808,                0.93921,                0.37121,                0.47409,                0.36785,                 0.9574,              0.0013858,              0.0013858,              0.0013858
                    412,                0.32645,                 0.4026,                0.27186,                0.87139,                0.90596,                0.94242,                0.98312,                0.91147,                0.90596,                0.94242,                0.98312,                0.93348,                0.35138,                0.52551,                0.35062,                0.95959,              0.0013851,              0.0013851,              0.0013851
                    413,                0.32821,                0.41633,                0.26451,                0.84127,                 0.9607,                 0.9242,                0.98417,                0.90612,                 0.9607,                 0.9242,                0.98417,                0.92694,                0.36122,                0.56583,                0.35393,                0.97222,              0.0013844,              0.0013844,              0.0013844
                    414,                0.33365,                0.38884,                0.28256,                 0.8485,                0.94535,                0.94362,                0.98909,                0.90737,                0.94535,                0.94362,                0.98909,                0.94176,                 0.3611,                0.58881,                0.34475,                0.97054,              0.0013837,              0.0013837,              0.0013837
                    415,                0.33843,                0.38887,                0.27595,                0.85095,                0.93745,                 0.9846,                0.99241,                0.90845,                0.93745,                 0.9846,                0.99241,                0.93541,                0.37233,                0.59517,                0.32841,                0.96149,               0.001383,               0.001383,               0.001383
                    416,                0.32718,                0.41546,                0.26669,                0.84268,                0.88041,                0.99075,                 0.9824,                0.89995,                0.90021,                0.94048,                0.97922,                0.92224,                0.37687,                0.56902,                0.32871,                0.94304,              0.0013823,              0.0013823,              0.0013823
                    417,                0.34151,                0.42308,                0.28534,                0.84966,                0.89921,                0.94048,                0.98297,                0.90819,                0.89921,                0.94048,                0.98297,                0.92202,                0.33477,                0.53608,                 0.3242,                  0.924,              0.0013816,              0.0013816,              0.0013816
                    418,                0.34453,                0.42082,                0.27102,                0.88042,                0.90345,                0.94048,                0.98701,                0.90939,                0.90345,                0.94048,                0.98701,                0.92828,                0.32379,                  0.517,                0.31485,                0.92201,              0.0013809,              0.0013809,              0.0013809
                    419,                0.31156,                0.37841,                 0.2602,                 0.8442,                0.92345,                0.94048,                0.98741,                0.90889,                0.92345,                0.94048,                0.98741,                0.92367,                0.32278,                0.51932,                0.31958,                0.92289,              0.0013803,              0.0013803,              0.0013803
                    420,                0.31315,                0.39756,                0.25755,                0.85769,                0.95754,                0.94048,                0.98922,                0.90423,                0.95754,                0.94048,                0.98053,                0.92897,                  0.322,                0.52965,                0.34297,                0.92918,              0.0013796,              0.0013796,              0.0013796
                    421,                 0.3219,                0.38493,                0.25237,                0.84882,                0.95722,                0.94048,                0.98658,                  0.908,                0.95722,                0.94048,                0.97008,                0.91614,                0.33704,                0.52757,                 0.3669,                 0.9425,              0.0013789,              0.0013789,              0.0013789
                    422,                0.31552,                0.39449,                0.26586,                0.84663,                0.95836,                0.94048,                0.96401,                0.90871,                0.95836,                0.94048,                0.95427,                0.92698,                0.33855,                0.53562,                0.37842,                0.93893,              0.0013782,              0.0013782,              0.0013782
                    423,                 0.3088,                0.37934,                0.24712,                0.83937,                0.95774,                0.94048,                0.96449,                0.90408,                0.95774,                0.94048,                0.95307,                 0.9236,                0.34154,                0.55534,                0.38366,                0.94047,              0.0013775,              0.0013775,              0.0013775
                    424,                0.32405,                0.38754,                0.27125,                0.85195,                 0.9246,                0.94048,                0.96771,                 0.9439,                 0.9246,                0.94048,                0.96771,                0.92356,                0.34179,                0.62182,                0.40206,                0.92649,              0.0013768,              0.0013768,              0.0013768
                    425,                0.32513,                0.40568,                0.25583,                0.85167,                0.91982,                0.94048,                 0.9867,                0.93553,                0.91982,                0.94048,                0.95361,                0.93027,                 0.3342,                0.62656,                0.35796,                0.91603,              0.0013761,              0.0013761,              0.0013761
                    426,                0.31887,                0.44824,                0.28636,                0.84854,                0.95195,                0.94048,                 0.9867,                0.91796,                0.95195,                0.94048,                0.95511,                0.92952,                0.33767,                0.57918,                0.32392,                0.92299,              0.0013754,              0.0013754,              0.0013754
                    427,                0.32616,                0.40685,                0.26959,                0.85539,                0.92425,                0.94048,                0.98033,                0.91681,                0.92425,                0.94048,                0.95213,                0.93133,                0.33908,                 0.5306,                0.30131,                 0.9252,              0.0013748,              0.0013748,              0.0013748
                    428,                0.33616,                0.41846,                0.27214,                0.83848,                0.91031,                0.98989,                0.98739,                0.92127,                0.93825,                0.94048,                 0.9621,                0.92694,                0.35433,                0.49827,                0.28945,                0.94002,              0.0013741,              0.0013741,              0.0013741
                    429,                0.32722,                0.42294,                0.26529,                0.85742,                0.94904,                 0.9866,                0.99355,                0.93467,                0.94904,                 0.9866,                0.99355,                0.93541,                0.34251,                0.49059,                0.29038,                0.93736,              0.0013734,              0.0013734,              0.0013734
                    430,                0.31215,                 0.3555,                0.25504,                0.84231,                0.94895,                0.97875,                0.99217,                0.93101,                0.94895,                0.97875,                0.99217,                0.93418,                0.32114,                0.48241,                0.28751,                0.93114,              0.0013727,              0.0013727,              0.0013727
                    431,                0.32455,                0.38223,                0.26111,                0.84846,                0.96262,                0.93595,                0.97561,                0.92317,                0.94898,                0.97527,                0.99161,                0.94534,                0.34636,                0.48136,                0.32224,                0.93761,               0.001372,               0.001372,               0.001372
                    432,                0.32809,                0.40214,                0.27022,                0.84245,                0.93737,                0.95604,                 0.9846,                0.89388,                0.93737,                0.95604,                0.95237,                0.92154,                0.34762,                0.48926,                0.33811,                 0.9409,              0.0013713,              0.0013713,              0.0013713
                    433,                0.33759,                0.41841,                0.27066,                0.86441,                0.93921,                0.95594,                 0.9859,                0.90274,                0.93921,                0.95594,                 0.9859,                0.93365,                0.33594,                0.47348,                 0.3239,                 0.9344,              0.0013706,              0.0013706,              0.0013706
                    434,                0.31442,                0.39319,                0.25412,                0.83703,                0.94204,                0.95618,                0.98053,                0.91111,                0.94204,                0.95618,                0.98053,                0.93869,                0.32611,                0.46529,                0.31224,                0.92294,              0.0013699,              0.0013699,              0.0013699
                    435,                0.32085,                0.39219,                0.25606,                0.85155,                0.94225,                0.95641,                 0.9589,                0.89837,                0.94225,                0.95641,                0.97412,                0.93154,                0.32996,                0.46125,                0.32111,                0.92386,              0.0013693,              0.0013693,              0.0013693
                    436,                0.33196,                0.39702,                0.28071,                0.84544,                0.95558,                0.95531,                0.98704,                0.91633,                0.95558,                0.95531,                0.98704,                0.93469,                0.32536,                0.44901,                0.29848,                 0.9234,              0.0013686,              0.0013686,              0.0013686
                    437,                0.33951,                0.39498,                0.26286,                0.86274,                0.95217,                0.95519,                0.97298,                0.89106,                0.95217,                0.95519,                 0.9864,                0.91985,                0.35728,                0.44709,                0.30446,                0.94857,              0.0013679,              0.0013679,              0.0013679
                    438,                0.29899,                0.39999,                0.25694,                0.83822,                0.95316,                0.95833,                0.97497,                0.89698,                0.95316,                0.95833,                0.98411,                0.93766,                0.34924,                0.43865,                0.29662,                0.94452,              0.0013672,              0.0013672,              0.0013672
                    439,                0.32722,                0.41821,                0.26667,                0.84719,                0.95595,                0.95833,                0.97423,                0.88505,                0.95595,                0.95833,                0.97804,                0.93633,                 0.3608,                0.45467,                0.30356,                0.95304,              0.0013665,              0.0013665,              0.0013665
                    440,                0.31819,                0.38389,                0.25715,                0.84576,                0.93772,                0.95833,                0.97754,                0.87686,                0.93772,                0.95833,                0.97754,                0.92647,                0.37747,                0.54164,                0.33908,                0.95948,              0.0013658,              0.0013658,              0.0013658
                    441,                0.33042,                0.42506,                0.27135,                0.84736,                0.94287,                0.95833,                0.98658,                0.88121,                0.94287,                0.95833,                 0.9843,                0.93153,                0.37934,                0.56523,                0.31124,                0.96099,              0.0013651,              0.0013651,              0.0013651
                    442,                0.32845,                0.42835,                0.27392,                0.83814,                0.94659,                0.95799,                0.98976,                 0.9007,                0.94659,                0.95799,                0.98976,                0.95405,                0.35583,                 0.5428,                0.30507,                0.95587,              0.0013644,              0.0013644,              0.0013644
                    443,                0.30528,                0.36659,                0.25758,                0.84297,                 0.9459,                0.95593,                0.98555,                0.90738,                 0.9459,                0.95593,                0.98555,                 0.9431,                0.33283,                0.49038,                0.29543,                0.95086,              0.0013638,              0.0013638,              0.0013638
                    444,                0.31745,                0.39669,                0.24741,                0.84005,                0.94946,                0.94048,                0.98933,                0.91072,                0.94946,                0.94048,                0.98933,                0.94406,                0.35269,                0.47946,                  0.307,                0.97743,              0.0013631,              0.0013631,              0.0013631
                    445,                0.31834,                  0.404,                0.25276,                0.85086,                0.92526,                0.99579,                0.99161,                0.89649,                0.92526,                0.99579,                0.99161,                0.93092,                 0.3782,                0.50081,                  0.314,                0.98954,              0.0013624,              0.0013624,              0.0013624
                    446,                0.32695,                0.37178,                0.27329,                 0.8718,                0.92625,                0.99745,                0.99032,                0.90511,                0.94268,                 0.9558,                0.95362,                0.91546,                0.38424,                 0.5011,                0.32157,                0.99031,              0.0013617,              0.0013617,              0.0013617
                    447,                0.33446,                0.42404,                0.27285,                0.85204,                0.94015,                0.95546,                 0.9846,                0.89535,                0.94015,                0.95546,                0.95262,                0.91801,                0.35663,                0.49977,                0.31474,                0.96506,               0.001361,               0.001361,               0.001361
                    448,                0.33777,                0.39594,                0.27137,                0.86677,                0.96633,                0.95286,                0.95942,                0.89298,                0.96633,                0.95286,                 0.9544,                0.92589,                0.35366,                 0.5045,                0.35636,                0.94361,              0.0013603,              0.0013603,              0.0013603
                    449,                0.35148,                0.42959,                0.30427,                0.88118,                0.95279,                 0.9491,                0.95533,                0.89077,                0.95279,                 0.9491,                0.95533,                0.92439,                0.36323,                0.49591,                0.36109,                0.94324,              0.0013596,              0.0013596,              0.0013596
                    450,                0.31119,                0.37184,                0.25392,                0.83703,                0.96575,                0.95014,                0.95705,                 0.9026,                0.96575,                0.95014,                0.95705,                0.92423,                0.37416,                 0.4629,                0.33519,                0.95412,              0.0013589,              0.0013589,              0.0013589
                    451,                0.33384,                0.42903,                0.28497,                0.84041,                0.97966,                0.95472,                0.96661,                0.90103,                0.97966,                0.95472,                0.95833,                0.92963,                0.36131,                0.47575,                0.30599,                0.94647,              0.0013583,              0.0013583,              0.0013583
                    452,                0.31864,                0.38917,                0.28965,                0.84667,                0.97954,                0.96359,                0.99379,                0.91648,                0.97954,                0.96359,                0.99379,                0.94388,                 0.3666,                0.47663,                0.28773,                0.96282,              0.0013576,              0.0013576,              0.0013576
                    453,                0.35134,                0.40535,                0.27724,                0.85385,                0.97015,                0.97549,                0.99379,                0.91327,                0.97015,                0.97549,                0.99379,                0.94978,                0.37351,                0.48299,                0.29224,                0.97539,              0.0013569,              0.0013569,              0.0013569
                    454,                   0.35,                0.45903,                 0.2781,                0.86334,                0.96869,                0.97832,                0.99379,                0.89287,                0.96869,                0.97832,                0.99379,                 0.9238,                0.39875,                0.51461,                0.29467,                0.99568,              0.0013562,              0.0013562,              0.0013562
                    455,                0.33792,                0.44879,                0.29293,                0.86857,                0.93144,                0.94381,                0.97509,                0.87337,                0.93144,                0.94381,                0.95408,                0.90544,                  0.416,                0.58526,                0.43517,                 1.0264,              0.0013555,              0.0013555,              0.0013555
                    456,                0.32838,                0.42596,                0.28236,                0.83324,                0.96438,                0.93904,                0.96232,                0.88301,                0.96438,                0.93904,                 0.9511,                0.89508,                 0.3772,                 0.5715,                0.45288,                 1.0057,              0.0013548,              0.0013548,              0.0013548
                    457,                0.32404,                0.41787,                0.27866,                0.85813,                0.94414,                0.95833,                0.95487,                 0.8833,                0.94414,                0.95833,                0.94437,                0.89154,                 0.3559,                0.50911,                0.36774,                0.99717,              0.0013541,              0.0013541,              0.0013541
                    458,                0.32236,                0.40027,                0.27143,                0.85329,                0.94497,                0.95833,                0.95684,                0.87833,                0.94497,                0.95833,                0.96947,                0.91458,                0.34305,                 0.4726,                0.32553,                0.98043,              0.0013534,              0.0013534,              0.0013534
                    459,                0.33521,                0.39635,                0.25591,                0.85766,                0.94702,                0.95833,                0.95999,                0.89168,                0.94702,                0.95833,                0.97575,                0.92296,                0.34784,                0.45019,                0.32051,                0.96607,              0.0013527,              0.0013527,              0.0013527
                    460,                0.33881,                0.38017,                0.26173,                0.85597,                0.94587,                0.95787,                0.95613,                0.89248,                0.94587,                0.95787,                0.97317,                0.92323,                0.36638,                0.46491,                 0.3428,                0.93113,              0.0013521,              0.0013521,              0.0013521
                    461,                0.33144,                0.38539,                0.26744,                0.84729,                0.94238,                0.95748,                0.95661,                0.90198,                0.94238,                0.95748,                0.96695,                0.93182,                0.34384,                0.43503,                0.33166,                0.92025,              0.0013514,              0.0013514,              0.0013514
                    462,                 0.3368,                0.38817,                0.27583,                0.85804,                0.96232,                0.94048,                0.95592,                0.91408,                0.96232,                0.94048,                0.96617,                0.93865,                0.30901,                0.40784,                  0.301,                0.91308,              0.0013507,              0.0013507,              0.0013507
                    463,                0.32596,                0.43827,                0.27185,                 0.8535,                0.95996,                0.95155,                0.97614,                0.91736,                0.95996,                0.95155,                0.97614,                0.94232,                0.31261,                0.39609,                0.31253,                 0.9177,                0.00135,                0.00135,                0.00135
                    464,                0.33148,                0.40548,                0.27327,                0.86072,                0.94588,                0.95833,                0.97444,                0.92101,                0.94588,                0.95833,                0.97444,                0.94154,                0.33256,                0.41608,                0.30795,                0.93225,              0.0013493,              0.0013493,              0.0013493
                    465,                 0.3147,                0.36309,                0.26739,                0.82897,                0.90452,                0.95833,                0.95516,                0.90378,                0.90452,                0.95833,                0.96197,                0.92231,                0.35221,                 0.4307,                0.33432,                0.93831,              0.0013486,              0.0013486,              0.0013486
                    466,                 0.3197,                 0.4317,                0.26555,                0.85973,                0.86894,                0.95833,                0.93735,                0.87002,                0.86894,                0.95833,                0.93953,                0.89606,                0.34196,                0.43857,                0.35299,                0.93961,              0.0013479,              0.0013479,              0.0013479
                    467,                0.31711,                0.38739,                0.25093,                0.85091,                0.86531,                0.95833,                0.93647,                0.83771,                0.86531,                0.95833,                0.94394,                0.88073,                0.34399,                0.42625,                0.38327,                0.94295,              0.0013472,              0.0013472,              0.0013472
                    468,                 0.3103,                 0.3658,                0.25224,                0.85154,                0.89721,                0.95833,                0.94741,                0.83551,                0.89721,                0.95833,                0.94741,                0.87763,                0.42499,                0.44899,                0.37688,                  1.009,              0.0013466,              0.0013466,              0.0013466
                    469,                0.31663,                0.40638,                0.25053,                0.83901,                0.89916,                0.95833,                0.95233,                0.85461,                0.89916,                0.95833,                0.95233,                0.89188,                0.41855,                0.52397,                0.37542,                   1.02,              0.0013459,              0.0013459,              0.0013459
