                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.73682,                  1.188,                0.80334,                 1.0387,                0.41856,                0.63095,                0.44108,                0.34339,                 0.3369,                0.61212,                0.40293,                0.27423,                  1.057,                 5.2606,                 4.7552,                 1.5736,              0.0016519,              0.0016519,              0.0016519
                     25,                0.70783,                 1.0823,                0.66058,                 1.0223,                0.42687,                0.64286,                0.46529,                0.36965,                0.36557,                0.79762,                0.43437,                 0.2952,                0.96613,                 4.3313,                 6.3671,                 1.5211,              0.0016512,              0.0016512,              0.0016512
                     26,                0.70016,                 1.1139,                0.63759,                 1.0177,                0.48891,                0.66863,                0.57425,                0.44287,                0.42783,                0.72024,                0.52293,                0.35377,                0.96571,                 3.9356,                 3.8537,                 1.5577,              0.0016505,              0.0016505,              0.0016505
                     27,                0.68019,                 0.9983,                0.59669,                 1.0156,                0.50233,                0.67262,                0.58414,                0.46695,                0.51849,                0.71559,                0.61179,                0.37863,                0.84698,                 3.9138,                 2.2557,                 1.3663,              0.0016498,              0.0016498,              0.0016498
                     28,                0.67789,                 1.0234,                0.66099,                 1.0179,                0.92525,                0.40645,                0.51633,                0.40562,                0.92525,                0.40645,                0.49301,                0.30908,                0.93286,                 4.0995,                  2.154,                 1.4307,              0.0016491,              0.0016491,              0.0016491
                     29,                0.67378,                0.99106,                0.62915,                 1.0231,                0.62527,                0.79156,                 0.7966,                0.54747,                0.70613,                0.85714,                0.84204,                0.51877,                 0.8691,                 2.6173,                 1.8474,                 1.3881,              0.0016484,              0.0016484,              0.0016484
                     30,                0.67753,                 1.0474,                0.60802,                 1.0125,                0.88697,                0.72554,                0.82051,                0.58769,                0.88697,                0.72554,                0.81522,                0.53886,                0.74304,                 2.3962,                 1.3311,                 1.2575,              0.0016477,              0.0016477,              0.0016477
                     31,                0.69951,                 1.0623,                0.63596,                 1.0291,                0.46597,                0.58333,                0.53906,                0.43717,                0.53742,                0.52381,                0.53322,                0.40167,                0.78378,                 2.6665,                 2.1217,                  1.291,              0.0016471,              0.0016471,              0.0016471
                     32,                0.78113,                 1.1426,                0.70577,                 1.0615,                 0.5848,                0.71102,                0.61253,                0.45242,                 0.5848,                0.71102,                0.61425,                0.43192,                0.83467,                  3.287,                 2.8086,                 1.3267,              0.0016464,              0.0016464,              0.0016464
                     33,                0.74157,                0.94701,                0.65087,                 1.0423,                0.64865,                0.75325,                0.70486,                0.53893,                0.64865,                0.75325,                0.70114,                0.49249,                0.76023,                 3.8113,                 3.6183,                 1.2459,              0.0016457,              0.0016457,              0.0016457
                     34,                0.66081,                0.90621,                0.60643,                 0.9899,                0.61375,                 0.6131,                0.68633,                0.47349,                0.61375,                 0.6131,                0.66921,                0.44596,                0.94463,                 3.6876,                 2.9701,                 1.4466,               0.001645,               0.001645,               0.001645
                     35,                0.64231,                0.94813,                0.56485,                0.98119,                0.60713,                0.64802,                0.65375,                0.48556,                0.60713,                0.64802,                0.66055,                0.46001,                0.83891,                   4.12,                 2.3977,                 1.4094,              0.0016443,              0.0016443,              0.0016443
                     36,                0.64063,                0.89847,                0.58979,                0.98169,                0.57566,                0.65476,                 0.6302,                0.50962,                 0.5884,                0.67262,                0.62703,                0.49449,                0.81198,                 4.3473,                 1.9491,                 1.3045,              0.0016436,              0.0016436,              0.0016436
                     37,                0.66794,                 0.8408,                0.56977,                0.98323,                0.53044,                0.89837,                  0.714,                0.54841,                0.58223,                0.74804,                0.70252,                0.47015,                0.71051,                 3.6502,                 1.6404,                 1.2522,              0.0016429,              0.0016429,              0.0016429
                     38,                0.63933,                0.83692,                0.57968,                0.99614,                0.70333,                0.88147,                0.76925,                0.59298,                0.62151,                 0.8908,                0.72852,                0.49299,                0.78268,                 2.8032,                 1.7808,                 1.2931,              0.0016422,              0.0016422,              0.0016422
                     39,                0.63974,                0.83425,                0.58396,                0.99862,                0.77806,                 0.8631,                0.85752,                0.65836,                0.68867,                0.85714,                0.83967,                0.66326,                0.75139,                 2.0774,                 1.8845,                 1.2662,              0.0016416,              0.0016416,              0.0016416
                     40,                0.71578,                 1.0691,                0.76465,                 1.0383,                0.58022,                0.79167,                0.69613,                0.54499,                0.64845,                0.78402,                0.75915,                0.49978,                0.81049,                 2.4604,                 1.4857,                 1.2448,              0.0016409,              0.0016409,              0.0016409
                     41,                0.70707,                0.87749,                0.63768,                 1.0523,                0.53654,                0.79167,                0.68944,                0.48758,                0.51535,                   0.75,                0.65854,                0.51818,                0.86516,                 1.8565,                 2.0276,                 1.2867,              0.0016402,              0.0016402,              0.0016402
                     42,                 0.6457,                0.82681,                0.57136,                 1.0009,                0.62233,                0.65239,                0.67029,                0.53191,                0.62233,                0.65239,                0.68264,                0.51638,                0.72966,                  1.939,                 4.1543,                  1.199,              0.0016395,              0.0016395,              0.0016395
                     43,                0.63348,                 0.7879,                0.55042,                0.98584,                0.83116,                0.71429,                0.80652,                0.62264,                 0.8904,                0.75595,                0.81965,                0.55534,                0.65962,                 2.5813,                 1.7458,                 1.1466,              0.0016388,              0.0016388,              0.0016388
                     44,                0.67611,                0.91517,                 0.6361,                 1.0154,                0.73518,                0.68691,                0.73066,                0.60594,                0.78593,                0.72618,                0.77649,                0.60811,                0.66861,                 1.3541,                 1.3858,                 1.1915,              0.0016381,              0.0016381,              0.0016381
                     45,                0.64637,                0.82714,                0.60101,                 1.0071,                0.74274,                0.82142,                0.81982,                0.66147,                0.82575,                0.90004,                0.86018,                0.69781,                0.65401,                  1.193,                 1.0602,                 1.1519,              0.0016374,              0.0016374,              0.0016374
